id,f_valid,f_maxima,f_muyalta,f_alta,f_moderada,f_baja
1277,1.0,0.172,0.002,0.436,0.378,0.011
1278,1.0,0.565,0.043,0.393,0.0,0.0
1279,1.0,0.526,0.035,0.438,0.0,0.0
1280,1.0,0.159,0.0,0.591,0.25,0.0
1281,1.0,0.016,0.007,0.082,0.895,0.0
1282,1.0,0.031,0.047,0.02,0.902,0.0
1283,1.0,0.026,0.03,0.462,0.482,0.0
1284,1.0,0.067,0.014,0.802,0.117,0.0
1285,1.0,0.597,0.041,0.362,0.0,0.0
1286,1.0,1.0,0.0,0.0,0.0,0.0
1287,1.0,0.995,0.004,0.0,0.0,0.0
1288,1.0,0.731,0.061,0.207,0.0,0.0
1289,1.0,0.365,0.003,0.632,0.0,0.0
1290,1.0,0.404,0.0,0.566,0.03,0.0
1291,1.0,0.528,0.002,0.389,0.082,0.0
1292,1.0,0.331,0.104,0.565,0.0,0.0
1293,1.0,0.315,0.002,0.617,0.065,0.0
1294,1.0,0.264,0.0,0.254,0.482,0.0
1295,1.0,0.319,0.0,0.239,0.441,0.0
1296,1.0,0.11,0.0,0.097,0.793,0.0
1297,1.0,0.024,0.0,0.088,0.889,0.0
1298,1.0,0.039,0.0,0.376,0.585,0.0
1299,1.0,0.09,0.0,0.845,0.065,0.0
1300,1.0,0.051,0.0,0.443,0.131,0.375
1301,1.0,0.322,0.0,0.129,0.211,0.338
1302,1.0,0.112,0.01,0.242,0.187,0.449
1303,1.0,0.104,0.003,0.215,0.352,0.327
1304,1.0,0.07,0.0,0.002,0.168,0.76
1305,1.0,0.068,0.022,0.224,0.346,0.34
1306,1.0,0.057,0.032,0.417,0.301,0.193
1307,1.0,0.071,0.001,0.334,0.582,0.012
1308,1.0,0.069,0.011,0.161,0.758,0.0
1309,1.0,0.031,0.009,0.414,0.547,0.0
1310,1.0,0.262,0.003,0.401,0.334,0.0
1311,1.0,0.435,0.014,0.225,0.326,0.0
1312,1.0,0.109,0.073,0.689,0.129,0.0
1313,1.0,0.008,0.147,0.846,0.0,0.0
1314,1.0,0.051,0.096,0.835,0.002,0.017
1315,1.0,0.1,0.131,0.672,0.025,0.071
1316,1.0,0.015,0.096,0.431,0.351,0.108
1317,1.0,0.086,0.015,0.349,0.544,0.006
1318,1.0,0.019,0.065,0.394,0.522,0.0
1319,1.0,0.163,0.138,0.487,0.212,0.0
1320,1.0,0.104,0.033,0.31,0.552,0.0
1321,1.0,0.01,0.017,0.217,0.756,0.0
1322,1.0,0.003,0.048,0.238,0.711,0.0
1323,1.0,0.01,0.025,0.267,0.673,0.025
1324,1.0,0.01,0.004,0.057,0.471,0.459
1325,1.0,0.122,0.002,0.034,0.013,0.829
1326,1.0,0.208,0.0,0.019,0.057,0.715
1327,1.0,0.066,0.0,0.018,0.124,0.792
1328,1.0,0.122,0.0,0.034,0.194,0.651
1329,1.0,0.197,0.0,0.01,0.227,0.567
1330,1.0,0.044,0.0,0.031,0.346,0.578
1331,1.0,0.142,0.026,0.17,0.173,0.49
1332,1.0,0.647,0.021,0.082,0.067,0.184
1333,1.0,0.558,0.0,0.1,0.04,0.302
1334,1.0,0.523,0.0,0.06,0.155,0.261
1335,1.0,0.845,0.0,0.047,0.013,0.095
1336,1.0,0.691,0.0,0.019,0.025,0.265
1337,1.0,0.232,0.0,0.102,0.113,0.554
1338,1.0,0.891,0.0,0.013,0.029,0.068
1339,1.0,0.415,0.011,0.1,0.411,0.062
1340,1.0,0.14,0.001,0.325,0.203,0.33
1341,1.0,0.098,0.008,0.226,0.177,0.491
1342,0.872,0.41,0.0,0.12,0.048,0.423
1343,0.665,0.214,0.005,0.474,0.306,0.0
1344,1.0,0.39,0.177,0.092,0.342,0.0
1345,1.0,0.098,0.012,0.174,0.716,0.0
1346,1.0,0.214,0.007,0.133,0.646,0.0
1347,1.0,0.232,0.0,0.032,0.736,0.0
1348,1.0,0.224,0.0,0.019,0.757,0.0
1349,1.0,0.237,0.01,0.223,0.53,0.0
1350,1.0,0.265,0.037,0.509,0.189,0.0
1351,1.0,0.148,0.056,0.573,0.224,0.0
1352,1.0,0.048,0.0,0.9,0.052,0.0
1353,1.0,0.033,0.04,0.761,0.166,0.0
1354,1.0,0.078,0.043,0.692,0.187,0.0
1355,1.0,0.821,0.0,0.0,0.179,0.0
1356,1.0,0.781,0.002,0.065,0.152,0.0
1357,1.0,0.67,0.015,0.31,0.005,0.0
1358,1.0,0.959,0.002,0.039,0.0,0.0
1359,1.0,1.0,0.0,0.0,0.0,0.0
1360,1.0,1.0,0.0,0.0,0.0,0.0
1361,1.0,1.0,0.0,0.0,0.0,0.0
1362,1.0,0.869,0.059,0.071,0.0,0.0
1363,1.0,0.745,0.049,0.206,0.0,0.0
1364,1.0,0.113,0.121,0.339,0.426,0.0
1365,1.0,0.092,0.048,0.39,0.471,0.0
1366,1.0,0.361,0.084,0.356,0.199,0.0
1367,1.0,0.612,0.001,0.386,0.0,0.0
1368,1.0,0.794,0.021,0.185,0.0,0.0
1369,1.0,0.031,0.0,0.749,0.22,0.0
1370,1.0,0.042,0.013,0.123,0.822,0.0
1371,1.0,0.024,0.003,0.082,0.891,0.0
1372,1.0,0.042,0.052,0.419,0.487,0.0
1373,1.0,0.049,0.06,0.441,0.07,0.381
1374,1.0,0.349,0.0,0.004,0.069,0.579
1375,1.0,0.273,0.0,0.056,0.131,0.54
1376,1.0,0.044,0.0,0.058,0.106,0.792
1377,1.0,0.041,0.0,0.006,0.087,0.865
1378,1.0,0.062,0.0,0.063,0.237,0.638
1379,1.0,0.013,0.0,0.0,0.159,0.827
1380,1.0,0.007,0.087,0.797,0.052,0.056
1381,1.0,0.032,0.066,0.293,0.609,0.0
1382,1.0,0.04,0.095,0.229,0.636,0.0
1383,1.0,0.135,0.03,0.179,0.657,0.0
1384,1.0,0.013,0.017,0.444,0.526,0.0
1385,1.0,0.278,0.007,0.493,0.222,0.0
1386,1.0,0.605,0.106,0.197,0.092,0.0
1387,1.0,0.765,0.004,0.231,0.0,0.0
1388,1.0,0.732,0.049,0.219,0.0,0.0
1389,1.0,0.356,0.11,0.294,0.24,0.0
1390,1.0,0.08,0.017,0.387,0.515,0.0
1391,1.0,0.025,0.012,0.206,0.757,0.0
1392,1.0,0.055,0.012,0.768,0.165,0.0
1393,1.0,0.017,0.002,0.795,0.186,0.0
1394,1.0,0.01,0.002,0.625,0.363,0.0
1395,1.0,0.054,0.007,0.437,0.502,0.0
1396,1.0,0.049,0.017,0.479,0.423,0.033
1397,1.0,0.059,0.0,0.072,0.471,0.398
1398,1.0,0.295,0.0,0.075,0.043,0.586
1399,1.0,0.365,0.0,0.053,0.068,0.515
1400,1.0,0.197,0.0,0.008,0.183,0.613
1401,1.0,0.265,0.0,0.01,0.226,0.499
1402,1.0,0.09,0.0,0.041,0.098,0.771
1403,1.0,0.121,0.0,0.051,0.054,0.774
1404,1.0,0.072,0.147,0.22,0.284,0.278
1405,1.0,0.078,0.181,0.322,0.063,0.357
1406,1.0,0.17,0.014,0.141,0.094,0.581
1407,1.0,0.116,0.0,0.196,0.105,0.583
1408,1.0,0.135,0.0,0.084,0.031,0.75
1409,1.0,0.343,0.0,0.066,0.039,0.552
1410,1.0,0.621,0.0,0.088,0.073,0.218
1411,1.0,0.688,0.0,0.229,0.02,0.064
1412,1.0,0.473,0.0,0.045,0.102,0.379
1413,0.891,0.579,0.002,0.021,0.004,0.394
1414,0.617,0.458,0.0,0.02,0.003,0.519
1415,0.941,0.243,0.156,0.469,0.132,0.0
1416,1.0,0.239,0.325,0.253,0.183,0.0
1417,1.0,0.199,0.279,0.159,0.363,0.0
1418,1.0,0.077,0.089,0.62,0.214,0.0
1419,1.0,0.128,0.113,0.609,0.15,0.0
1420,1.0,0.167,0.267,0.507,0.059,0.0
1421,1.0,0.192,0.097,0.461,0.25,0.0
1422,1.0,0.109,0.16,0.668,0.064,0.0
1423,1.0,0.55,0.009,0.422,0.019,0.0
1424,1.0,0.378,0.033,0.576,0.012,0.0
1425,1.0,0.354,0.063,0.462,0.121,0.0
1426,1.0,0.558,0.0,0.349,0.092,0.0
1427,1.0,0.303,0.004,0.5,0.193,0.0
1428,1.0,0.415,0.038,0.331,0.215,0.0
1429,1.0,0.911,0.017,0.055,0.017,0.0
1430,1.0,1.0,0.0,0.0,0.0,0.0
1431,1.0,0.997,0.0,0.003,0.0,0.0
1432,1.0,0.93,0.0,0.069,0.0,0.0
1433,1.0,0.874,0.023,0.103,0.0,0.0
1434,1.0,0.726,0.021,0.253,0.0,0.0
1435,1.0,0.368,0.131,0.335,0.166,0.0
1436,1.0,0.052,0.048,0.521,0.378,0.0
1437,1.0,0.257,0.123,0.619,0.0,0.0
1438,1.0,0.061,0.14,0.799,0.0,0.0
1439,1.0,0.544,0.0,0.456,0.0,0.0
1440,1.0,0.424,0.016,0.56,0.0,0.0
1441,1.0,0.284,0.0,0.423,0.293,0.0
1442,1.0,0.473,0.001,0.07,0.456,0.0
1443,1.0,0.173,0.008,0.281,0.538,0.0
1444,1.0,0.134,0.08,0.266,0.519,0.002
1445,1.0,0.37,0.004,0.205,0.167,0.254
1446,1.0,0.202,0.0,0.002,0.112,0.685
1447,1.0,0.038,0.0,0.004,0.014,0.943
1448,1.0,0.09,0.0,0.0,0.002,0.908
1449,1.0,0.003,0.0,0.0,0.041,0.957
1450,1.0,0.016,0.0,0.0,0.002,0.982
1451,1.0,0.093,0.002,0.513,0.069,0.324
1452,1.0,0.044,0.001,0.239,0.325,0.391
1453,1.0,0.007,0.004,0.141,0.627,0.22
1454,1.0,0.011,0.008,0.118,0.863,0.0
1455,1.0,0.297,0.034,0.311,0.358,0.0
1456,1.0,0.827,0.0,0.08,0.093,0.0
1457,1.0,0.3,0.003,0.226,0.471,0.0
1458,1.0,0.278,0.002,0.218,0.502,0.0
1459,1.0,0.159,0.041,0.523,0.277,0.0
1460,1.0,0.323,0.0,0.662,0.015,0.0
1461,1.0,0.024,0.0,0.402,0.575,0.0
1462,1.0,0.019,0.0,0.333,0.648,0.0
1463,1.0,0.111,0.0,0.643,0.246,0.0
1464,1.0,0.041,0.0,0.956,0.0,0.002
1465,1.0,0.102,0.0,0.748,0.019,0.131
1466,1.0,0.231,0.001,0.415,0.033,0.32
1467,1.0,0.094,0.0,0.069,0.05,0.787
1468,1.0,0.221,0.0,0.004,0.108,0.667
1469,1.0,0.394,0.0,0.024,0.123,0.46
1470,1.0,0.321,0.0,0.0,0.058,0.621
1471,1.0,0.554,0.0,0.0,0.025,0.421
1472,1.0,0.131,0.0,0.051,0.019,0.799
1473,1.0,0.405,0.0,0.038,0.125,0.433
1474,1.0,0.246,0.0,0.112,0.311,0.331
1475,1.0,0.049,0.289,0.243,0.328,0.091
1476,1.0,0.76,0.146,0.092,0.0,0.003
1477,1.0,0.957,0.015,0.021,0.001,0.007
1478,1.0,0.335,0.0,0.187,0.11,0.368
1479,1.0,0.114,0.0,0.108,0.053,0.725
1480,1.0,0.115,0.005,0.209,0.051,0.621
1481,1.0,0.295,0.0,0.185,0.036,0.484
1482,1.0,0.308,0.0,0.15,0.039,0.503
1483,0.785,0.41,0.0,0.012,0.007,0.572
1484,0.571,0.411,0.0,0.0,0.031,0.558
1485,0.992,0.161,0.0,0.0,0.05,0.789
1486,0.875,0.164,0.0,0.0,0.071,0.765
1487,0.698,0.022,0.56,0.413,0.004,0.0
1488,1.0,0.038,0.463,0.499,0.0,0.0
1489,1.0,0.067,0.167,0.766,0.0,0.0
1490,1.0,0.048,0.1,0.851,0.0,0.0
1491,1.0,0.051,0.135,0.807,0.007,0.0
1492,1.0,0.059,0.47,0.456,0.015,0.0
1493,1.0,0.175,0.404,0.302,0.119,0.0
1494,1.0,0.699,0.131,0.17,0.0,0.0
1495,1.0,0.308,0.332,0.311,0.048,0.0
1496,1.0,0.062,0.131,0.741,0.067,0.0
1497,1.0,0.093,0.03,0.877,0.0,0.0
1498,1.0,0.269,0.036,0.673,0.022,0.0
1499,1.0,0.732,0.017,0.246,0.005,0.0
1500,1.0,0.305,0.007,0.569,0.119,0.0
1501,1.0,0.245,0.02,0.735,0.0,0.0
1502,1.0,0.917,0.0,0.083,0.0,0.0
1503,1.0,0.999,0.0,0.001,0.0,0.0
1504,1.0,0.949,0.015,0.036,0.0,0.0
1505,1.0,0.703,0.14,0.147,0.01,0.0
1506,1.0,0.815,0.068,0.118,0.0,0.0
1507,1.0,0.446,0.058,0.337,0.158,0.0
1508,1.0,0.163,0.082,0.319,0.436,0.0
1509,1.0,0.024,0.043,0.306,0.627,0.0
1510,1.0,0.03,0.075,0.487,0.408,0.0
1511,1.0,0.446,0.027,0.318,0.209,0.0
1512,1.0,0.153,0.034,0.378,0.434,0.0
1513,1.0,0.03,0.003,0.207,0.759,0.0
1514,1.0,0.1,0.0,0.175,0.725,0.0
1515,1.0,0.271,0.013,0.228,0.488,0.0
1516,1.0,0.261,0.048,0.211,0.48,0.0
1517,1.0,0.149,0.028,0.353,0.352,0.119
1518,1.0,0.142,0.0,0.007,0.222,0.629
1519,1.0,0.073,0.0,0.0,0.0,0.926
1520,1.0,0.04,0.0,0.003,0.0,0.957
1521,1.0,0.045,0.0,0.002,0.001,0.953
1522,1.0,0.053,0.0,0.0,0.0,0.947
1523,1.0,0.022,0.0,0.0,0.0,0.978
1524,1.0,0.01,0.0,0.003,0.073,0.913
1525,1.0,0.017,0.0,0.503,0.291,0.189
1526,1.0,0.052,0.0,0.495,0.453,0.0
1527,1.0,0.43,0.118,0.241,0.194,0.017
1528,1.0,0.183,0.1,0.343,0.237,0.136
1529,1.0,0.016,0.101,0.349,0.196,0.338
1530,1.0,0.005,0.017,0.365,0.353,0.26
1531,1.0,0.024,0.011,0.272,0.487,0.206
1532,1.0,0.033,0.0,0.146,0.736,0.085
1533,1.0,0.026,0.0,0.102,0.872,0.0
1534,1.0,0.025,0.0,0.883,0.089,0.003
1535,1.0,0.027,0.0,0.608,0.181,0.185
1536,1.0,0.006,0.01,0.113,0.588,0.283
1537,1.0,0.068,0.0,0.0,0.165,0.767
1538,1.0,0.063,0.0,0.0,0.001,0.935
1539,1.0,0.014,0.0,0.0,0.0,0.986
1540,1.0,0.033,0.0,0.002,0.258,0.708
1541,1.0,0.039,0.0,0.032,0.471,0.458
1542,1.0,0.018,0.0,0.002,0.125,0.855
1543,1.0,0.066,0.0,0.0,0.003,0.931
1544,1.0,0.057,0.0,0.203,0.212,0.528
1545,1.0,0.117,0.0,0.09,0.072,0.721
1546,1.0,0.04,0.051,0.135,0.212,0.562
1547,1.0,0.463,0.319,0.134,0.083,0.0
1548,1.0,0.97,0.009,0.021,0.0,0.0
1549,1.0,0.97,0.0,0.001,0.0,0.028
1550,1.0,0.237,0.001,0.083,0.113,0.566
1551,1.0,0.198,0.0,0.046,0.028,0.728
1552,1.0,0.131,0.0,0.108,0.108,0.654
1553,1.0,0.172,0.058,0.244,0.272,0.254
1554,0.942,0.612,0.081,0.04,0.011,0.255
1555,0.613,0.244,0.0,0.006,0.019,0.731
1556,0.922,0.109,0.0,0.0,0.007,0.884
1557,0.912,0.191,0.0,0.0,0.037,0.771
1558,0.86,0.053,0.072,0.23,0.645,0.0
1559,0.999,0.031,0.375,0.475,0.12,0.0
1560,1.0,0.41,0.14,0.448,0.001,0.0
1561,1.0,0.158,0.0,0.819,0.023,0.0
1562,1.0,0.164,0.0,0.661,0.176,0.0
1563,1.0,0.245,0.0,0.525,0.231,0.0
1564,1.0,0.144,0.087,0.589,0.18,0.0
1565,1.0,0.023,0.14,0.644,0.193,0.0
1566,1.0,0.065,0.32,0.474,0.141,0.0
1567,1.0,0.027,0.477,0.282,0.214,0.0
1568,1.0,0.021,0.164,0.505,0.311,0.0
1569,1.0,0.111,0.046,0.63,0.213,0.0
1570,1.0,0.182,0.021,0.546,0.251,0.0
1571,1.0,0.803,0.001,0.196,0.0,0.0
1572,1.0,0.534,0.01,0.456,0.0,0.0
1573,1.0,0.727,0.003,0.269,0.0,0.0
1574,1.0,0.357,0.095,0.549,0.0,0.0
1575,1.0,0.138,0.001,0.861,0.0,0.0
1576,1.0,0.419,0.0,0.581,0.0,0.0
1577,1.0,0.551,0.088,0.358,0.002,0.0
1578,1.0,0.865,0.034,0.101,0.0,0.0
1579,1.0,0.671,0.07,0.257,0.003,0.0
1580,1.0,0.511,0.007,0.341,0.142,0.0
1581,1.0,0.018,0.026,0.769,0.186,0.0
1582,1.0,0.252,0.124,0.456,0.168,0.0
1583,1.0,0.098,0.015,0.388,0.499,0.0
1584,1.0,0.022,0.0,0.111,0.867,0.0
1585,1.0,0.038,0.002,0.121,0.84,0.0
1586,1.0,0.109,0.0,0.149,0.742,0.0
1587,1.0,0.042,0.027,0.299,0.632,0.0
1588,1.0,0.246,0.01,0.057,0.687,0.0
1589,1.0,0.176,0.084,0.415,0.325,0.0
1590,1.0,0.166,0.015,0.135,0.168,0.516
1591,1.0,0.39,0.0,0.078,0.315,0.217
1592,1.0,0.52,0.003,0.057,0.157,0.264
1593,1.0,0.112,0.0,0.024,0.343,0.52
1594,1.0,0.012,0.0,0.02,0.018,0.951
1595,1.0,0.012,0.001,0.001,0.226,0.761
1596,1.0,0.022,0.0,0.009,0.0,0.969
1597,1.0,0.024,0.0,0.703,0.0,0.273
1598,1.0,0.144,0.0,0.612,0.001,0.243
1599,1.0,0.028,0.0,0.062,0.0,0.91
1600,1.0,0.032,0.0,0.009,0.003,0.956
1601,1.0,0.018,0.0,0.042,0.013,0.927
1602,1.0,0.013,0.005,0.09,0.074,0.819
1603,1.0,0.023,0.004,0.01,0.054,0.909
1604,1.0,0.012,0.0,0.0,0.042,0.946
1605,1.0,0.017,0.0,0.005,0.36,0.618
1606,1.0,0.004,0.0,0.125,0.169,0.703
1607,1.0,0.012,0.0,0.0,0.194,0.794
1608,1.0,0.057,0.0,0.0,0.225,0.718
1609,1.0,0.043,0.0,0.0,0.0,0.957
1610,1.0,0.031,0.0,0.0,0.001,0.968
1611,1.0,0.026,0.0,0.0,0.04,0.934
1612,1.0,0.162,0.0,0.0,0.067,0.771
1613,1.0,0.308,0.0,0.005,0.062,0.625
1614,1.0,0.28,0.0,0.015,0.071,0.634
1615,1.0,0.52,0.0,0.009,0.002,0.469
1616,1.0,0.451,0.055,0.036,0.063,0.394
1617,1.0,0.08,0.49,0.229,0.016,0.185
1618,1.0,0.618,0.102,0.131,0.021,0.129
1619,1.0,0.901,0.095,0.002,0.001,0.0
1620,1.0,1.0,0.0,0.0,0.0,0.0
1621,1.0,0.961,0.0,0.002,0.013,0.024
1622,1.0,0.622,0.0,0.238,0.071,0.069
1623,1.0,0.213,0.0,0.126,0.011,0.649
1624,1.0,0.606,0.006,0.047,0.017,0.323
1625,1.0,0.436,0.173,0.042,0.026,0.323
1626,0.667,0.63,0.055,0.022,0.001,0.292
1627,0.129,1.0,0.0,0.0,0.0,0.0
1628,1.0,0.792,0.014,0.079,0.115,0.0
1629,1.0,0.295,0.471,0.176,0.057,0.0
1630,1.0,0.05,0.419,0.411,0.121,0.0
1631,1.0,0.971,0.003,0.026,0.0,0.0
1632,1.0,1.0,0.0,0.0,0.0,0.0
1633,1.0,0.776,0.0,0.224,0.0,0.0
1634,1.0,0.766,0.0,0.234,0.0,0.0
1635,1.0,0.774,0.043,0.183,0.0,0.0
1636,1.0,0.161,0.0,0.839,0.0,0.0
1637,1.0,0.095,0.0,0.196,0.708,0.0
1638,1.0,0.045,0.009,0.019,0.927,0.0
1639,1.0,0.042,0.0,0.047,0.911,0.0
1640,1.0,0.101,0.025,0.346,0.528,0.0
1641,1.0,0.039,0.019,0.29,0.651,0.0
1642,1.0,0.427,0.004,0.12,0.449,0.0
1643,1.0,0.563,0.023,0.413,0.0,0.0
1644,1.0,0.353,0.006,0.641,0.0,0.0
1645,1.0,0.372,0.02,0.608,0.0,0.0
1646,1.0,0.032,0.014,0.954,0.0,0.0
1647,1.0,0.031,0.001,0.968,0.0,0.0
1648,1.0,0.689,0.184,0.127,0.0,0.0
1649,1.0,0.854,0.098,0.048,0.0,0.0
1650,1.0,0.987,0.0,0.013,0.0,0.0
1651,1.0,0.974,0.003,0.023,0.0,0.0
1652,1.0,0.549,0.133,0.258,0.06,0.0
1653,1.0,0.05,0.02,0.245,0.685,0.0
1654,1.0,0.102,0.026,0.34,0.532,0.0
1655,1.0,0.033,0.006,0.497,0.463,0.0
1656,1.0,0.14,0.002,0.682,0.176,0.0
1657,1.0,0.172,0.041,0.776,0.01,0.0
1658,1.0,0.057,0.002,0.428,0.512,0.0
1659,1.0,0.017,0.0,0.0,0.983,0.0
1660,1.0,0.133,0.005,0.07,0.793,0.0
1661,1.0,0.326,0.01,0.202,0.46,0.003
1662,1.0,0.445,0.012,0.135,0.408,0.0
1663,1.0,0.697,0.003,0.049,0.251,0.0
1664,1.0,0.231,0.0,0.247,0.19,0.332
1665,1.0,0.167,0.0,0.03,0.368,0.435
1666,1.0,0.073,0.0,0.004,0.416,0.506
1667,1.0,0.141,0.0,0.0,0.017,0.842
1668,1.0,0.156,0.0,0.001,0.0,0.843
1669,1.0,0.046,0.0,0.004,0.0,0.949
1670,1.0,0.055,0.0,0.0,0.002,0.944
1671,1.0,0.076,0.0,0.0,0.001,0.922
1672,1.0,0.083,0.0,0.002,0.041,0.875
1673,1.0,0.039,0.0,0.001,0.003,0.957
1674,1.0,0.05,0.0,0.0,0.041,0.909
1675,1.0,0.026,0.0,0.0,0.009,0.966
1676,1.0,0.049,0.0,0.0,0.109,0.843
1677,1.0,0.037,0.0,0.0,0.0,0.963
1678,1.0,0.043,0.0,0.0,0.001,0.956
1679,1.0,0.031,0.0,0.0,0.015,0.954
1680,1.0,0.023,0.0,0.0,0.018,0.959
1681,1.0,0.036,0.0,0.0,0.0,0.964
1682,1.0,0.03,0.0,0.0,0.0,0.97
1683,1.0,0.022,0.0,0.0,0.0,0.978
1684,1.0,0.032,0.0,0.003,0.121,0.844
1685,1.0,0.078,0.0,0.0,0.002,0.919
1686,1.0,0.118,0.0,0.044,0.028,0.81
1687,1.0,0.325,0.0,0.086,0.106,0.483
1688,1.0,0.432,0.155,0.129,0.091,0.193
1689,1.0,0.992,0.007,0.0,0.0,0.0
1690,1.0,1.0,0.0,0.0,0.0,0.0
1691,1.0,1.0,0.0,0.0,0.0,0.0
1692,1.0,1.0,0.0,0.0,0.0,0.0
1693,1.0,0.709,0.0,0.087,0.025,0.179
1694,1.0,0.143,0.0,0.036,0.02,0.801
1695,1.0,0.382,0.0,0.0,0.0,0.618
1696,1.0,0.83,0.0,0.0,0.0,0.17
1697,0.934,0.551,0.089,0.36,0.0,0.0
1698,1.0,0.235,0.252,0.462,0.05,0.0
1699,1.0,0.108,0.283,0.591,0.018,0.0
1700,1.0,0.643,0.013,0.342,0.002,0.0
1701,1.0,0.984,0.001,0.015,0.0,0.0
1702,1.0,1.0,0.0,0.0,0.0,0.0
1703,1.0,0.998,0.0,0.001,0.0,0.0
1704,1.0,0.757,0.078,0.164,0.0,0.0
1705,1.0,0.35,0.404,0.246,0.0,0.0
1706,1.0,0.975,0.0,0.024,0.0,0.0
1707,1.0,0.937,0.0,0.016,0.046,0.0
1708,1.0,0.419,0.002,0.062,0.518,0.0
1709,1.0,0.102,0.028,0.355,0.515,0.0
1710,1.0,0.596,0.018,0.067,0.32,0.0
1711,1.0,0.048,0.134,0.373,0.445,0.0
1712,1.0,0.018,0.004,0.435,0.542,0.0
1713,1.0,0.045,0.135,0.819,0.001,0.0
1714,1.0,0.009,0.164,0.79,0.037,0.0
1715,1.0,0.052,0.113,0.817,0.018,0.0
1716,1.0,0.045,0.104,0.841,0.009,0.0
1717,1.0,0.043,0.01,0.946,0.0,0.0
1718,1.0,0.359,0.209,0.421,0.011,0.0
1719,1.0,0.601,0.041,0.285,0.073,0.0
1720,1.0,0.869,0.0,0.116,0.015,0.0
1721,1.0,0.837,0.006,0.157,0.0,0.0
1722,1.0,0.825,0.003,0.089,0.083,0.0
1723,1.0,0.256,0.01,0.573,0.161,0.0
1724,1.0,0.794,0.012,0.191,0.003,0.0
1725,1.0,0.96,0.001,0.039,0.0,0.0
1726,1.0,0.94,0.005,0.055,0.0,0.0
1727,1.0,0.652,0.118,0.231,0.0,0.0
1728,1.0,0.714,0.057,0.18,0.05,0.0
1729,1.0,0.446,0.0,0.379,0.175,0.0
1730,1.0,0.838,0.0,0.043,0.12,0.0
1731,1.0,0.473,0.021,0.308,0.198,0.0
1732,1.0,0.52,0.01,0.074,0.396,0.0
1733,1.0,0.688,0.0,0.049,0.263,0.0
1734,1.0,0.522,0.0,0.409,0.069,0.0
1735,1.0,0.01,0.005,0.259,0.726,0.0
1736,1.0,0.386,0.018,0.108,0.432,0.056
1737,1.0,0.471,0.0,0.001,0.081,0.447
1738,1.0,0.226,0.0,0.0,0.0,0.774
1739,1.0,0.11,0.0,0.007,0.0,0.883
1740,1.0,0.095,0.0,0.007,0.0,0.898
1741,1.0,0.183,0.0,0.003,0.086,0.728
1742,1.0,0.081,0.0,0.003,0.052,0.864
1743,1.0,0.034,0.0,0.004,0.013,0.949
1744,1.0,0.096,0.0,0.019,0.161,0.724
1745,1.0,0.091,0.0,0.002,0.303,0.605
1746,1.0,0.328,0.0,0.004,0.474,0.194
1747,1.0,0.008,0.0,0.054,0.175,0.763
1748,1.0,0.035,0.0,0.0,0.0,0.964
1749,1.0,0.032,0.0,0.0,0.078,0.89
1750,1.0,0.032,0.0,0.0,0.28,0.688
1751,1.0,0.006,0.0,0.003,0.039,0.952
1752,1.0,0.028,0.0,0.002,0.057,0.912
1753,1.0,0.056,0.0,0.0,0.005,0.939
1754,1.0,0.315,0.0,0.004,0.007,0.674
1755,1.0,0.729,0.0,0.006,0.0,0.265
1756,1.0,0.909,0.0,0.024,0.007,0.06
1757,1.0,0.981,0.0,0.005,0.006,0.008
1758,1.0,0.836,0.0,0.0,0.015,0.149
1759,1.0,0.71,0.0,0.016,0.02,0.254
1760,1.0,1.0,0.0,0.0,0.0,0.0
1761,1.0,0.921,0.0,0.003,0.014,0.061
1762,1.0,0.415,0.0,0.024,0.139,0.422
1763,1.0,0.184,0.0,0.003,0.03,0.783
1764,1.0,0.211,0.0,0.018,0.133,0.638
1765,1.0,0.219,0.0,0.0,0.004,0.776
1766,0.869,0.994,0.0,0.0,0.0,0.006
1767,0.978,0.278,0.0,0.119,0.02,0.582
1768,0.772,0.208,0.0,0.035,0.011,0.746
1769,0.998,0.098,0.335,0.568,0.0,0.0
1770,1.0,0.513,0.315,0.172,0.0,0.0
1771,1.0,0.536,0.07,0.394,0.0,0.0
1772,1.0,0.511,0.042,0.447,0.0,0.0
1773,1.0,0.443,0.002,0.555,0.0,0.0
1774,1.0,0.623,0.093,0.255,0.03,0.0
1775,1.0,0.163,0.477,0.255,0.105,0.0
1776,1.0,0.068,0.208,0.572,0.152,0.0
1777,1.0,0.099,0.189,0.532,0.181,0.0
1778,1.0,0.57,0.063,0.307,0.06,0.0
1779,1.0,0.886,0.014,0.1,0.0,0.0
1780,1.0,0.986,0.0,0.014,0.0,0.0
1781,1.0,0.324,0.093,0.543,0.04,0.0
1782,1.0,0.357,0.385,0.219,0.039,0.0
1783,1.0,0.136,0.585,0.272,0.006,0.0
1784,1.0,0.065,0.296,0.413,0.227,0.0
1785,1.0,0.022,0.001,0.917,0.06,0.0
1786,1.0,0.02,0.216,0.76,0.004,0.0
1787,1.0,0.623,0.044,0.306,0.028,0.0
1788,1.0,0.632,0.043,0.269,0.056,0.0
1789,1.0,0.122,0.062,0.676,0.141,0.0
1790,1.0,0.604,0.007,0.26,0.129,0.0
1791,1.0,0.473,0.018,0.202,0.306,0.0
1792,1.0,0.367,0.001,0.421,0.211,0.0
1793,1.0,0.148,0.085,0.763,0.004,0.0
