id,f_valid,f_maxima,f_muyalta,f_alta,f_moderada,f_baja
121,1.0,0.408,0.136,0.453,0.0,0.003
122,1.0,0.348,0.106,0.312,0.19,0.044
123,1.0,0.319,0.004,0.009,0.287,0.382
124,1.0,0.023,0.0,0.001,0.026,0.95
125,1.0,0.07,0.0,0.0,0.0,0.93
126,1.0,0.163,0.0,0.0,0.0,0.837
127,1.0,0.291,0.0,0.0,0.001,0.707
128,1.0,0.038,0.0,0.0,0.0,0.962
129,1.0,0.124,0.0,0.0,0.0,0.876
130,1.0,0.309,0.0,0.001,0.001,0.689
131,1.0,0.756,0.0,0.001,0.014,0.229
132,1.0,1.0,0.0,0.0,0.0,0.0
133,1.0,0.562,0.006,0.111,0.053,0.267
134,1.0,0.014,0.008,0.167,0.223,0.587
135,1.0,0.018,0.002,0.115,0.127,0.738
136,1.0,0.041,0.0,0.0,0.239,0.72
137,1.0,0.011,0.0,0.0,0.026,0.963
138,1.0,0.01,0.0,0.0,0.0,0.99
139,1.0,0.015,0.0,0.0,0.097,0.888
140,1.0,0.038,0.0,0.01,0.404,0.548
141,1.0,0.137,0.0,0.005,0.428,0.43
142,1.0,0.627,0.005,0.099,0.16,0.108
143,1.0,0.592,0.049,0.137,0.127,0.094
144,1.0,0.249,0.023,0.102,0.259,0.368
145,0.853,0.864,0.0,0.02,0.034,0.083
146,0.741,0.545,0.019,0.077,0.051,0.308
147,0.635,0.293,0.081,0.155,0.152,0.319
148,0.948,0.475,0.08,0.086,0.191,0.168
149,1.0,0.343,0.138,0.037,0.307,0.175
150,0.808,1.0,0.0,0.0,0.0,0.0
151,0.816,1.0,0.0,0.0,0.0,0.0
152,1.0,1.0,0.0,0.0,0.0,0.0
153,1.0,0.958,0.005,0.037,0.0,0.0
154,1.0,0.206,0.0,0.561,0.011,0.222
155,1.0,0.097,0.0,0.049,0.094,0.76
156,1.0,0.102,0.0,0.317,0.056,0.525
157,1.0,0.07,0.0,0.108,0.445,0.377
158,1.0,0.032,0.0,0.0,0.957,0.011
159,1.0,0.032,0.0,0.002,0.928,0.038
160,1.0,0.098,0.0,0.0,0.755,0.147
161,1.0,0.32,0.0,0.046,0.634,0.0
162,1.0,0.186,0.024,0.306,0.484,0.0
163,1.0,0.041,0.0,0.0,0.959,0.0
164,1.0,0.022,0.0,0.012,0.966,0.0
165,1.0,0.021,0.0,0.08,0.9,0.0
166,1.0,0.049,0.011,0.315,0.625,0.0
167,1.0,0.157,0.023,0.092,0.728,0.0
168,1.0,0.542,0.006,0.05,0.402,0.0
169,1.0,0.056,0.0,0.025,0.103,0.816
170,1.0,0.312,0.0,0.0,0.004,0.683
171,1.0,0.216,0.0,0.0,0.0,0.784
172,1.0,0.374,0.0,0.0,0.001,0.625
173,1.0,0.076,0.0,0.039,0.063,0.821
174,1.0,0.189,0.0,0.107,0.059,0.645
175,1.0,0.572,0.001,0.03,0.032,0.366
176,1.0,0.327,0.002,0.07,0.004,0.598
177,1.0,0.46,0.0,0.023,0.029,0.488
178,1.0,0.132,0.008,0.35,0.128,0.383
179,1.0,0.017,0.0,0.358,0.061,0.565
