id,isa_val,eol_val,eol_dev,patch_ha
2014,2.05,1.89,0.061,0
2015,0.15,0.13,0.0,0
2016,0.0,0.0,0.0,0
2017,0.0,0.0,0.0,0
2018,1.54,1.26,0.043,48
2019,4.05,3.06,0.036,48
2020,5.3,4.18,0.101,396
2021,4.46,3.54,0.126,1244
2022,5.76,4.73,0.333,2848
2023,5.7,4.64,0.379,34368
2024,6.08,4.47,0.264,34368
2025,3.54,2.6,0.034,183392
2026,7.23,5.73,0.041,183392
2027,6.3,4.69,0.019,183392
2028,7.35,5.26,0.04,183392
2029,7.6,5.47,0.097,183392
2030,6.22,5.22,0.281,183392
2031,5.8,4.9,0.311,183392
2032,7.45,6.19,0.264,183392
2033,7.07,5.2,0.0,183392
2034,7.13,4.56,0.0,183392
2035,6.05,4.21,0.0,183392
2036,6.68,4.46,0.0,4764
2037,6.99,4.84,0.0,1885384
2038,6.8,5.84,0.016,1885384
2039,3.12,2.41,0.073,1885384
2040,0.92,0.65,0.084,1885384
2041,6.16,4.17,0.506,1885384
2042,3.26,1.71,0.22,1885384
2043,6.24,5.56,0.647,1885384
2044,8.56,7.43,0.838,1885384
2045,7.06,6.51,0.773,1885384
2046,8.01,6.25,0.769,1885384
2047,8.55,6.79,0.757,1885384
2048,8.31,7.19,0.752,1885384
2049,7.88,6.97,0.712,1885384
2050,9.28,7.71,0.78,1885384
2051,9.51,7.73,0.829,1885384
2052,9.57,8.7,0.922,1885384
2053,8.53,7.14,0.73,1885384
2054,8.3,7.76,0.817,1885384
2055,9.37,8.5,0.89,1885384
2056,8.69,7.69,0.822,1885384
2057,7.16,6.58,0.619,1885384
2058,5.42,4.84,0.556,1885384
2059,6.29,5.43,0.561,127060
2060,7.06,6.86,0.753,127060
2061,7.12,6.39,0.69,127060
2062,7.47,5.78,0.643,127060
2063,5.5,4.11,0.487,127060
2064,1.19,1.05,0.119,127060
2065,0.0,0.0,0.0,0
2066,0.01,0.01,0.0,0
2067,4.18,3.04,0.349,483044
2068,8.66,7.3,0.821,483044
2069,8.1,7.37,0.775,483044
2070,4.68,4.07,0.506,483044
2071,3.83,3.15,0.398,483044
2072,7.05,3.55,0.395,483044
2073,6.66,4.0,0.477,483044
2074,0.0,0.0,0.0,0
2075,0.12,0.01,0.001,207368
2076,1.77,0.64,0.079,207368
2077,7.28,4.14,0.464,207368
2078,7.93,5.47,0.588,207368
2079,6.66,5.48,0.614,207368
2080,1.0,0.73,0.09,207368
2081,4.18,3.18,0.0,0
2082,5.29,4.36,0.218,1752
2083,3.6,3.17,0.041,1752
2084,2.21,2.23,0.034,240
2085,3.36,2.71,0.204,73020
2086,5.95,4.59,0.429,73020
2087,3.99,3.41,0.267,73020
2088,0.41,0.38,0.021,0
2089,0.0,0.0,0.0,0
2090,0.0,0.0,0.0,0
2091,0.04,0.04,0.0,0
2092,2.95,2.53,0.009,20
2093,5.3,3.92,0.176,476
2094,3.08,2.1,0.008,0
2095,4.38,3.29,0.0,0
2096,4.52,3.48,0.095,6712
2097,6.83,4.59,0.173,6712
2098,5.86,4.29,0.027,34368
2099,4.13,3.18,0.024,183392
2100,6.37,4.74,0.016,183392
2101,7.32,5.84,0.006,183392
2102,7.6,6.22,0.339,183392
2103,7.68,6.68,0.493,183392
2104,7.49,6.45,0.71,183392
2105,7.52,5.96,0.659,183392
2106,7.23,5.69,0.606,183392
2107,6.29,4.78,0.082,183392
2108,6.21,4.37,0.017,183392
2109,5.69,3.23,0.023,1885384
2110,5.84,2.82,0.153,1885384
2111,7.18,6.22,0.346,1885384
2112,7.87,6.3,0.648,1885384
2113,8.57,7.38,0.796,1885384
2114,7.53,3.96,0.479,1885384
2115,5.21,3.19,0.378,1885384
2116,6.51,3.53,0.454,1885384
2117,7.82,6.78,0.85,1885384
2118,6.04,5.46,0.646,1885384
2119,3.15,2.23,0.296,1885384
2120,2.75,1.62,0.166,1885384
2121,5.27,4.53,0.116,1885384
2122,7.76,5.91,0.589,1885384
2123,7.93,5.98,0.782,1885384
2124,8.9,6.87,0.753,1885384
2125,9.62,8.4,0.898,1885384
2126,9.25,7.5,0.806,1885384
2127,8.54,7.64,0.858,1885384
2128,7.49,6.95,0.836,1885384
2129,7.87,7.09,0.69,1885384
2130,7.61,7.19,0.847,1885384
2131,7.69,6.69,0.767,59768
2132,4.06,4.02,0.449,59768
2133,4.99,4.67,0.472,127060
2134,8.35,8.3,0.928,127060
2135,8.79,8.47,0.929,127060
2136,7.65,6.57,0.746,127060
2137,3.44,2.46,0.189,127060
2138,0.0,0.0,0.0,0
2139,0.34,0.08,0.009,7080
2140,1.6,0.89,0.072,483044
2141,6.76,4.01,0.478,483044
2142,7.16,5.19,0.379,483044
2143,8.0,7.08,0.847,483044
2144,6.32,4.72,0.56,483044
2145,4.78,2.43,0.309,483044
2146,0.34,0.25,0.034,483044
2147,2.68,1.59,0.172,483044
2148,7.03,4.45,0.504,483044
2149,0.0,0.0,0.0,0
2150,0.73,0.58,0.058,207368
2151,6.72,5.13,0.573,207368
2152,3.73,0.75,0.094,207368
2153,5.5,1.28,0.143,7984
2154,2.77,2.37,0.001,148
2155,4.13,3.82,0.032,160
2156,7.26,5.79,0.508,73020
2157,7.82,6.38,0.646,73020
2158,7.5,5.87,0.653,73020
2159,7.9,5.68,0.682,73020
2160,7.23,5.57,0.629,73020
2161,6.09,5.38,0.345,18924
2162,3.9,2.69,0.243,18924
2163,4.22,3.51,0.087,18080
2164,5.33,4.34,0.145,18080
2165,5.89,4.66,0.147,2788
2166,5.92,4.89,0.156,2788
2167,5.42,4.43,0.011,2788
2168,5.11,4.3,0.0,0
2169,1.76,1.61,0.0,0
2170,0.98,0.43,0.0,0
2171,4.07,2.41,0.0,0
2172,1.68,1.24,0.0,0
2173,5.77,3.63,0.0,632
2174,5.6,3.11,0.0,183392
2175,5.6,3.94,0.027,183392
2176,7.3,4.65,0.009,183392
2177,7.4,4.07,0.194,183392
2178,7.61,4.74,0.171,183392
2179,7.32,4.99,0.097,183392
2180,3.76,1.7,0.0,940
2181,3.18,2.25,0.0,600
2182,5.98,4.0,0.01,1885384
2183,7.95,5.08,0.522,1885384
2184,5.83,4.63,0.536,1885384
2185,4.4,3.34,0.409,1885384
2186,6.09,4.54,0.556,1885384
2187,9.12,7.97,0.89,1885384
2188,6.88,5.32,0.63,1885384
2189,5.23,3.75,0.479,1885384
2190,4.46,3.93,0.456,1885384
2191,5.79,4.68,0.556,1885384
2192,6.4,5.06,0.667,1885384
2193,5.34,3.88,0.454,1885384
2194,7.58,4.72,0.197,1885384
2195,8.94,7.74,0.846,1885384
2196,9.55,8.52,0.956,1885384
2197,9.5,8.4,0.884,1885384
2198,9.43,8.45,0.874,1885384
2199,9.14,7.46,0.792,1885384
2200,7.37,6.9,0.859,1885384
2201,8.42,6.76,0.788,1885384
2202,8.21,6.0,0.681,1885384
2203,7.63,7.23,0.841,59768
2204,8.04,6.7,0.759,59768
2205,5.97,3.84,0.437,59768
2206,1.58,1.32,0.143,127060
2207,6.59,6.34,0.72,127060
2208,7.57,6.63,0.754,127060
2209,8.19,5.8,0.634,127060
2210,2.32,1.68,0.196,127060
2211,1.96,0.8,0.103,7080
2212,6.37,3.46,0.291,7080
2213,5.85,3.09,0.073,7080
2214,5.09,1.78,0.0,0
2215,5.97,4.37,0.0,483044
2216,7.6,5.61,0.441,483044
2217,5.39,3.19,0.386,483044
2218,0.76,0.46,0.063,9328
2219,0.02,0.01,0.001,483044
2220,5.45,3.25,0.402,483044
2221,8.42,5.51,0.642,483044
2222,6.83,3.02,0.323,483044
2223,0.03,0.0,0.0,4
2224,4.54,2.55,0.279,5128
2225,2.18,1.96,0.223,5128
2226,1.97,0.75,0.096,1080
2227,2.27,1.17,0.133,7984
2228,0.28,0.27,0.03,7984
2229,6.78,6.83,0.685,22044
2230,7.09,6.54,0.494,22044
2231,7.24,5.11,0.496,73020
2232,7.9,6.61,0.507,73020
2233,8.42,7.56,0.85,73020
2234,7.65,5.36,0.609,73020
2235,6.96,4.94,0.517,73020
2236,6.49,5.81,0.445,18924
2237,5.47,4.04,0.27,18924
2238,6.87,5.67,0.501,18924
2239,7.71,4.12,0.42,18080
2240,7.27,4.99,0.384,18080
2241,5.49,4.48,0.073,18080
2242,6.25,4.88,0.176,4796
2243,5.19,3.6,0.044,4796
2244,2.56,1.92,0.0,0
2245,0.03,0.0,0.0,0
2246,0.0,0.0,0.0,0
2247,0.15,0.13,0.0,0
2248,2.53,2.16,0.001,632
2249,4.64,2.52,0.067,2788
2250,4.84,2.62,0.002,183392
2251,6.77,3.99,0.0,183392
2252,6.74,3.61,0.0,183392
2253,7.24,4.88,0.0,183392
2254,6.93,4.87,0.0,1885384
2255,6.11,3.78,0.0,1885384
2256,6.07,3.47,0.0,1885384
2257,7.06,5.01,0.0,1885384
2258,7.39,2.74,0.052,1885384
2259,8.38,4.1,0.44,1885384
2260,8.27,4.81,0.585,1885384
2261,4.49,2.84,0.364,1885384
2262,5.68,3.82,0.417,1885384
2263,5.42,3.72,0.398,1885384
2264,7.11,6.99,0.728,1885384
2265,4.28,3.5,0.374,1885384
2266,7.47,5.17,0.559,1885384
2267,8.25,6.33,0.571,1885384
2268,7.42,6.24,0.147,1885384
2269,6.66,4.79,0.224,1885384
2270,9.6,7.85,0.847,1885384
2271,8.49,6.95,0.752,1885384
2272,8.67,6.81,0.75,1885384
2273,9.39,7.48,0.806,1885384
2274,9.39,8.39,0.906,1885384
2275,9.13,6.91,0.756,1885384
2276,7.88,4.76,0.524,1885384
2277,5.69,4.4,0.478,1885384
2278,0.23,0.21,0.024,59768
2279,3.02,3.03,0.345,59768
2280,3.92,2.89,0.32,59768
2281,4.87,4.22,0.454,59768
2282,6.99,6.32,0.73,127060
2283,6.12,5.39,0.595,127060
2284,4.86,3.87,0.319,127060
2285,5.11,3.59,0.423,265132
2286,2.76,1.45,0.166,265132
2287,4.65,2.32,0.0,0
2288,4.68,1.28,0.0,0
2289,5.64,2.07,0.232,7148
2290,6.9,4.87,0.459,483044
2291,4.93,3.51,0.271,483044
2292,1.14,0.96,0.115,483044
2293,3.12,2.31,0.292,483044
2294,5.56,3.78,0.477,483044
2295,7.81,5.41,0.678,483044
2296,8.51,4.59,0.563,483044
2297,8.2,5.08,0.614,483044
2298,4.16,1.63,0.196,483044
2299,2.28,0.87,0.096,5128
2300,0.58,0.54,0.064,5128
2301,0.62,0.53,0.063,204
2302,1.13,0.31,0.039,212
2303,7.4,7.34,0.938,22044
2304,7.59,7.36,0.908,22044
2305,6.22,4.43,0.303,22044
2306,6.12,4.42,0.173,73020
2307,6.0,5.19,0.159,73020
2308,7.42,5.64,0.325,73020
2309,6.43,4.28,0.498,73020
2310,7.71,6.49,0.704,73020
2311,6.06,4.72,0.193,15740
2312,5.42,3.7,0.036,328
2313,5.19,2.05,0.111,2084
2314,5.92,1.3,0.119,2084
2315,5.02,0.65,0.053,18080
2316,4.98,1.38,0.083,18080
2317,5.47,1.58,0.134,4796
2318,6.05,2.85,0.205,4796
2319,3.53,2.13,0.116,3112
2320,3.66,2.58,0.11,3112
2321,1.35,0.76,0.024,812
2322,0.68,0.41,0.0,0
2323,0.23,0.06,0.0,0
2324,1.19,0.54,0.0,92
2325,1.3,0.64,0.001,520
2326,0.71,0.2,0.0,6084
2327,3.55,2.65,0.0,6084
2328,5.78,2.97,0.0,183392
2329,4.68,3.03,0.0,1885384
2330,6.16,3.9,0.0,1885384
2331,7.41,4.77,0.0,1885384
2332,7.25,4.19,0.0,1885384
2333,6.68,2.22,0.012,1885384
2334,6.71,0.8,0.029,1885384
2335,8.16,4.88,0.525,1885384
2336,5.53,2.42,0.281,1885384
2337,4.45,3.36,0.377,1885384
2338,8.81,6.45,0.685,1885384
2339,9.28,7.34,0.79,1885384
2340,9.29,7.22,0.785,1885384
2341,8.49,6.63,0.756,1885384
2342,6.65,4.29,0.162,1885384
2343,6.83,4.88,0.048,1885384
2344,3.94,2.77,0.123,1885384
2345,8.79,7.73,0.854,1885384
2346,8.04,7.05,0.757,1885384
2347,9.36,8.18,0.85,1885384
2348,9.22,7.89,0.829,1885384
2349,9.31,7.99,0.864,1885384
2350,8.71,6.41,0.709,1885384
