0,1653.38,195.0,32
1,1683.31,92.0,32
2,1656.47,45.0,32
3,1545.61,152.0,30
4,1508.23,511.0,30
5,1609.32,29.0,31
6,1730.8,13.0,33
7,1721.75,4.0,33
8,1685.26,6.0,33
9,1579.18,51.0,31
10,1493.6,455.0,29
11,1575.77,62.0,30
12,1637.57,50.0,31
13,1644.26,223.0,32
14,1720.28,33.0,33
15,1725.77,89.0,33
16,1700.34,109.0,33
17,1665.61,105.0,33
18,1588.96,58.0,31
19,1580.05,132.0,31
20,1533.42,480.0,30
21,1620.67,145.0,32
22,1664.24,86.0,32
23,1617.84,65.0,32
24,1736.01,5.0,33
25,1716.93,101.0,33
26,1694.99,65.0,33
27,1662.92,98.0,33
28,1633.89,57.0,33
29,1585.39,285.0,32
30,1583.04,315.0,31
31,1669.24,69.0,32
32,1654.66,160.0,32
33,1580.35,420.0,31
34,1637.0,140.0,31
35,1722.41,9.0,34
36,1711.94,76.0,33
37,1689.79,95.0,33
38,1672.24,98.0,33
39,1609.54,232.0,32
40,1544.86,324.0,31
41,1609.74,535.0,32
42,1616.83,753.0,31
43,1580.5,335.0,31
44,1540.5,377.0,30
45,1588.15,665.0,31
46,1691.32,323.0,33
47,1662.83,254.0,33
48,1636.54,179.0,32
49,1702.5,242.0,33
50,1707.59,36.0,33
51,1724.1,24.0,34
52,1734.59,32.0,34
53,1716.93,46.0,34
54,1696.73,8.0,33
55,1681.99,33.0,33
56,1674.84,72.0,33
57,1653.34,85.0,33
58,1620.85,171.0,32
59,1592.46,295.0,32
60,1610.95,309.0,32
61,1608.89,1035.0,31
62,1561.29,890.0,30
63,1624.85,751.0,32
64,1536.27,1296.0,30
65,1565.78,506.0,32
66,1592.04,307.0,32
67,1656.71,298.0,33
68,1658.8,266.0,33
69,1655.66,268.0,32
70,1721.49,48.0,34
71,1722.22,30.0,34
72,1713.21,69.0,34
73,1688.23,26.0,34
74,1680.52,48.0,33
75,1675.35,140.0,33
76,1660.99,175.0,33
77,1664.25,177.0,33
78,1631.7,252.0,33
79,1616.59,716.0,32
80,1623.42,848.0,32
81,1637.19,653.0,32
82,1653.13,718.0,33
83,1596.29,1153.0,32
84,1630.27,889.0,32
85,1650.91,487.0,33
86,1644.63,225.0,33
87,1649.97,254.0,33
88,1723.58,39.0,34
89,1690.38,196.0,34
90,1700.15,266.0,34
91,1702.87,240.0,34
92,1722.5,144.0,34
93,1687.29,9.0,34
94,1696.34,68.0,34
95,1727.44,84.0,35
96,1684.69,56.0,33
97,1733.26,89.0,34
98,1686.33,251.0,33
99,1722.73,237.0,34
100,1722.95,8.0,35
101,1734.13,42.0,35
102,1712.09,2.0,35
103,1792.47,95.0,35
104,1793.26,37.0,35
105,1765.5,33.0,35
106,1698.15,96.0,33
107,1717.49,2.0,34
108,1710.2,0.0,34
109,1703.67,21.0,34
110,1685.53,48.0,34
111,1655.19,273.0,33
112,1661.22,117.0,33
113,1654.85,241.0,34
114,1658.07,143.0,33
115,1638.93,324.0,33
116,1653.48,360.0,33
117,1645.21,456.0,32
118,1657.79,646.0,33
119,1656.77,706.0,33
120,1658.94,910.0,33
121,1606.11,836.0,32
122,1500.37,718.0,33
123,1638.01,644.0,33
124,1633.26,216.0,33
125,1674.13,438.0,34
126,1603.87,408.0,32
127,1650.68,861.0,33
128,1674.79,707.0,34
129,1653.8,132.0,33
130,1699.73,562.0,34
131,1695.65,1034.0,34
132,1614.09,1264.0,32
133,1677.73,829.0,33
134,1697.51,914.0,34
135,1657.1,607.0,33
136,1537.54,1034.0,33
137,1656.16,937.0,33
138,1725.92,1087.0,34
139,1658.27,971.0,33
140,1745.82,859.0,35
141,1734.11,346.0,35
142,1777.01,1308.0,34
143,1726.16,1065.0,35
144,1783.81,692.0,35
145,1719.95,657.0,34
146,1723.08,48.0,35
147,1700.22,21.0,35
148,1756.14,50.0,36
149,1756.92,101.0,35
150,1701.25,192.0,33
151,1714.98,12.0,34
152,1701.92,0.0,34
153,1695.35,0.0,34
154,1693.08,1.0,34
155,1681.82,6.0,34
156,1673.32,12.0,34
157,1680.78,109.0,34
158,1671.92,135.0,34
159,1671.74,203.0,34
160,1645.05,270.0,34
161,1521.44,337.0,28
162,1657.79,304.0,33
163,1641.21,364.0,33
164,1661.13,792.0,33
165,1680.69,936.0,33
166,1693.12,485.0,33
167,1648.95,396.0,33
168,1607.3,786.0,32
169,1621.26,614.0,32
170,1605.1,1214.0,32
171,1602.33,817.0,32
172,1623.54,918.0,33
173,1646.83,562.0,33
174,1651.05,1037.0,33
175,1666.56,1001.0,33
176,1679.98,978.0,33
177,1674.72,906.0,33
178,1663.14,1262.0,33
179,1703.35,1014.0,34
180,1672.42,715.0,33
181,1695.7,1772.0,34
182,1708.09,1498.0,33
183,1754.6,1409.0,35
184,1695.26,898.0,33
185,1735.19,503.0,34
186,1725.35,962.0,34
187,1670.35,1514.0,33
188,1521.93,1011.0,30
189,1675.52,1100.0,34
190,1737.07,396.0,35
191,1729.99,169.0,35
192,1707.74,673.0,34
193,1750.48,363.0,35
194,1752.46,170.0,35
195,1746.94,204.0,35
196,1715.62,35.0,34
197,1717.85,40.0,34
198,1703.56,9.0,34
199,1697.81,1.0,34
200,1694.64,1.0,34
201,1689.64,2.0,34
202,1679.33,3.0,34
203,1663.93,3.0,34
204,1683.33,15.0,34
205,1676.07,52.0,34
206,1675.2,91.0,34
207,1676.61,178.0,34
208,1644.69,249.0,33
209,1633.68,375.0,33
210,1652.24,520.0,34
211,1664.57,482.0,33
212,1682.65,565.0,34
213,1692.56,610.0,34
214,1683.91,457.0,34
215,1665.25,420.0,34
216,1655.86,395.0,33
217,1628.67,431.0,33
218,1637.38,763.0,33
219,1611.89,847.0,33
220,1647.49,894.0,33
221,1711.45,1346.0,34
222,1660.35,911.0,32
223,1675.9,1025.0,33
224,1662.91,1013.0,35
225,1682.48,934.0,35
226,1712.38,847.0,34
227,1513.29,1260.0,29
228,1442.99,2062.0,29
229,1661.48,3080.0,33
230,1711.37,2095.0,33
231,1721.72,2242.0,34
232,1754.31,2020.0,35
233,1754.87,1516.0,34
234,1739.11,1754.0,34
235,1666.46,1204.0,33
236,1685.63,929.0,34
237,1707.34,518.0,34
238,1699.84,442.0,34
239,1613.3,602.0,32
240,1676.51,613.0,34
241,1698.79,465.0,34
242,1709.55,302.0,34
243,1706.17,271.0,34
244,1687.95,24.0,34
245,1699.29,69.0,34
246,1691.83,44.0,34
247,1693.17,14.0,34
248,1675.22,14.0,34
249,1686.41,3.0,34
250,1677.36,2.0,34
251,1673.56,2.0,34
252,1675.33,3.0,34
253,1675.79,2.0,34
254,1673.67,16.0,34
255,1669.18,53.0,34
256,1668.13,86.0,34
257,1668.32,115.0,34
258,1672.93,199.0,34
259,1684.97,279.0,34
260,1669.27,409.0,33
261,1673.64,448.0,34
262,1694.21,446.0,34
263,1669.03,431.0,34
264,1688.46,422.0,34
265,1669.9,411.0,34
266,1660.39,485.0,33
267,1665.85,447.0,34
268,1630.21,890.0,33
269,1661.06,755.0,34
270,1649.88,727.0,34
271,1693.67,979.0,34
272,1693.37,664.0,34
273,1686.69,703.0,34
274,1688.55,662.0,35
275,1669.27,708.0,34
276,1687.63,653.0,35
277,1625.65,845.0,33
278,1632.88,1224.0,33
279,1454.6,1836.0,29
280,1540.44,2402.0,32
